GEL-2007;H23;;;;;
GEL-2007;H24;;;;;
GEL-2007;H25;;;;;
GEL-2910;H23;;;;;
GEL-2910;H24;;;;;
GEL-2910;H25;;;;;
GEL-3000;H23;;;;;
GEL-3000;H24;;;;;
GEL-3000;H25;;;;;
GEL-3001;A22;;;;;
GEL-3001;A23;;;;;
GEL-3001;A24;;;;;
GEL-3002;A22;;;;;
GEL-3002;A23;;;;;
GEL-3002;A24;;;;;
GEL-3003;A22;;;;;
GEL-3003;A23;;;;;
GEL-3003;A24;;;;;
GEL-3006;A22;;;;;
GEL-3006;A23;;;;;
GEL-3006;A24;;;;;
GEL-3007;H23;;;;;
GEL-3007;H24;;;;;
GEL-3007;H25;;;;;
GEL-3010;H23;;;;;
GEL-3010;H24;;;;;
GEL-3010;H25;;;;;
GEL-3014;H23;;;;;
GEL-3014;H24;;;;;
GEL-3014;H25;;;;;
GEL-3020;A22;;;;;
GEL-3020;E23;;;;;
GEL-3020;A23;;;;;
GEL-3020;E24;;;;;
GEL-3020;A24;;;;;
GEL-3020;E25;;;;;
GEL-3021;A22;;;;;
GEL-3021;H23;;;;;
GEL-3021;A23;;;;;
GEL-3021;H24;;;;;
GEL-3021;A24;;;;;
GEL-3021;H25;;;;;
GEL-3100;H23;;;;;
GEL-3100;H24;;;;;
GEL-3100;H25;;;;;
GEL-3110;H23;;;;;
GEL-3110;H24;;;;;
GEL-3110;H25;;;;;
GEL-3150;H23;;;;;
GEL-3150;H24;;;;;
GEL-3150;H25;;;;;
GEL-3301;H23;;;;;
GEL-3301;H24;;;;;
GEL-3301;H25;;;;;
GEL-3302;H23;;;;;
GEL-3302;H24;;;;;
GEL-3302;H25;;;;;
GEL-4064;H23;;;;;
GEL-4064;H24;;;;;
GEL-4069;H23;;;;;
GEL-4069;H25;;;;;
GEL-4072;A22;;;;;
GEL-4072;A23;;;;;
GEL-4072;A24;;;;;
GEL-4073;A22;;;;;
GEL-4073;A23;;;;;
GEL-4073;A24;;;;;
GEL-4075;H23;;;;;
GEL-4075;H24;;;;;
GEL-4075;H25;;;;;
GEL-4100;A23;;;;;
GEL-4100;A24;;;;;
GEL-4101;H23;;;;;
GEL-4101;H25;;;;;
GEL-4102;A22;;;;;
GEL-4102;A23;;;;;
GEL-4102;A24;;;;;
GEL-4150;A22;;;;;
GEL-4150;H23;;;;;
GEL-4150;A23;;;;;
GEL-4150;A24;;;;;
GEL-4151;H23;;;;;
GEL-4151;H24;;;;;
GEL-4152;H23;;;;;
GEL-4152;H24;;;;;
GEL-4200;A22;;;;;
GEL-4200;A23;;;;;
GEL-4200;A24;;;;;
GEL-4201;H23;;;;;
GEL-4201;H24;;;;;
GEL-4201;H25;;;;;
GEL-4202;H23;;;;;
GEL-4202;H24;;;;;
GEL-4203;A22;;;;;
GEL-4203;A23;;;;;
GEL-4203;A24;;;;;
GEL-4250;H23;;;;;
GEL-4250;H25;;;;;
