sigle;session;section;mode;jour;heure_debut;heure_fin
GIN-3080;A25;B;P;1;13:30;15:20
GIN-3080;A25;B;P;2;15:30;18:20
GIN-3080;A25;B;P;3;10:30;12:20
GIN-3080;A25;C;P;1;13:30;15:20
GIN-3080;A25;C;P;2;18:30;21:20
GIN-3080;A25;C;P;3;10:30;12:20
GIN-3080;A25;D;P;1;13:30;15:20
GIN-3080;A25;D;P;1;18:30;21:20
GIN-3080;A25;D;P;3;10:30;12:20
GIN-3080;A24;A;P;1;13:30;15:20
GIN-3080;A24;A;P;1;15:30;18:20
GIN-3080;A24;A;P;3;10:30;12:20
GIN-3080;A24;B;P;1;13:30;15:20
GIN-3080;A24;B;P;2;15:30;18:20
GIN-3080;A24;B;P;3;10:30;12:20
GIN-3080;A24;C;P;1;13:30;15:20
GIN-3080;A24;C;P;2;18:30;21:20
GIN-3080;A24;C;P;3;10:30;12:20
GIN-3080;A24;D;P;1;13:30;15:20
GIN-3080;A24;D;P;1;18:30;21:20
GIN-3080;A24;D;P;3;10:30;12:20
GIN-3080;A20;;;;;
GIN-3080;A21;;;;;
GIN-3080;A22;;;;;
GIN-3080;A23;;;;;
GIN-3080;A27;;;;;
GIN-3080;A28;;;;;
GIN-3080;A29;;;;;
GIN-3080;A30;;;;;
GIN-3080;A31;;;;;
GIN-3080;H23;;;;;
GIN-3110;A26;A;P;2;08:30;10:20
GIN-3110;A26;A;P;4;13:30;15:20
GIN-3110;A25;A;P;2;08:30;10:20
GIN-3110;A25;A;P;4;13:30;15:20
GIN-3110;A24;A;P;2;08:30;10:20
GIN-3110;A24;A;P;4;13:30;15:20
GIN-3110;A20;;;;;
GIN-3110;A21;;;;;
GIN-3110;A22;;;;;
GIN-3110;A23;;;;;
GIN-3110;A27;;;;;
GIN-3110;A28;;;;;
GIN-3110;A29;;;;;
GIN-3110;A30;;;;;
GIN-3110;A31;;;;;
GIN-3200;E26;H;H;5;18:30;21:20
GIN-3200;H26;A;P;5;10:30;13:20
GIN-3200;E21;;;;;
GIN-3200;E22;;;;;
GIN-3200;E23;;;;;
GIN-3200;E24;;;;;
GIN-3200;E25;;;;;
GIN-3200;E27;;;;;
GIN-3200;E28;;;;;
GIN-3200;E29;;;;;
GIN-3200;E30;;;;;
GIN-3200;E31;;;;;
GIN-3200;H21;;;;;
GIN-3200;H22;;;;;
GIN-3200;H23;;;;;
GIN-3200;H24;;;;;
GIN-3200;H25;;;;;
GIN-3200;H27;;;;;
GIN-3200;H28;;;;;
GIN-3200;H29;;;;;
GIN-3200;H30;;;;;
GIN-3200;H31;;;;;
GIN-3220;H26;A;P;2;10:30;12:20
GIN-3220;H26;A;P;4;11:30;13:20
GIN-3220;H25;A;P;2;10:30;12:20
GIN-3220;H25;A;P;4;10:30;12:20
GIN-3220;H21;;;;;
GIN-3220;H22;;;;;
GIN-3220;H23;;;;;
GIN-3220;H24;;;;;
GIN-3220;H27;;;;;
GIN-3220;H28;;;;;
GIN-3220;H29;;;;;
GIN-3220;H30;;;;;
GIN-3220;H31;;;;;
GIN-3310;A26;A;P;2;15:30;18:20
GIN-3310;A25;A;P;2;15:30;18:20
GIN-3310;A24;A;P;2;15:30;18:20
GIN-3310;A20;;;;;
GIN-3310;A21;;;;;
GIN-3310;A22;;;;;
GIN-3310;A23;;;;;
GIN-3310;A27;;;;;
GIN-3310;A28;;;;;
GIN-3310;A29;;;;;
GIN-3310;A30;;;;;
GIN-3310;A31;;;;;
GIN-3320;H26;A;P;4;08:30;11:20
GIN-3320;H25;A;P;4;08:30;11:20
GIN-3320;H21;;;;;
GIN-3320;H22;;;;;
GIN-3320;H23;;;;;
GIN-3320;H24;;;;;
GIN-3320;H27;;;;;
GIN-3320;H28;;;;;
GIN-3320;H29;;;;;
GIN-3320;H30;;;;;
GIN-3320;H31;;;;;
GIN-3580;A26;;;;;
GIN-3580;E26;;;;;
GIN-3580;H26;;;;;
GIN-3580;A20;;;;;
GIN-3580;A21;;;;;
GIN-3580;A22;;;;;
GIN-3580;A23;;;;;
GIN-3580;A24;;;;;
GIN-3580;A27;;;;;
GIN-3580;A28;;;;;
GIN-3580;A29;;;;;
GIN-3580;A30;;;;;
GIN-3580;A31;;;;;
GIN-3580;E21;;;;;
GIN-3580;E22;;;;;
GIN-3580;E23;;;;;
GIN-3580;E24;;;;;
GIN-3580;E25;;;;;
GIN-3580;E27;;;;;
GIN-3580;E28;;;;;
GIN-3580;E29;;;;;
GIN-3580;E30;;;;;
GIN-3580;E31;;;;;
GIN-3580;H21;;;;;
GIN-3580;H22;;;;;
GIN-3580;H23;;;;;
