sigle;session;section;mode;jour;heure_debut;heure_fin
GMC-2580;E31;;;;;
GMC-2580;H27;;;;;
GMC-2580;H28;;;;;
GMC-2580;H29;;;;;
GMC-2580;H30;;;;;
GMC-2580;H31;;;;;
GMC-3000;H26;A;P;1;08:30;10:20
GMC-3000;H26;A;P;4;13:30;15:20
GMC-3000;H25;A;P;1;08:30;10:20
GMC-3000;H25;A;P;3;08:30;10:20
GMC-3000;H26;;;;;
GMC-3000;H27;;;;;
GMC-3000;H28;;;;;
GMC-3000;H29;;;;;
GMC-3000;H30;;;;;
GMC-3000;H31;;;;;
GMC-3002;A26;A;P;1;13:30;15:20
GMC-3002;A26;A;P;1;15:30;17:20
GMC-3002;A26;A;P;3;10:30;12:20
GMC-3002;A26;B;P;1;13:30;15:20
GMC-3002;A26;B;P;1;17:30;19:20
GMC-3002;A26;B;P;3;10:30;12:20
GMC-3002;A26;C;P;1;13:30;15:20
GMC-3002;A26;C;P;1;19:30;21:20
GMC-3002;A26;C;P;3;10:30;12:20
GMC-3002;A26;D;P;1;13:30;15:20
GMC-3002;A26;D;P;2;15:30;17:20
GMC-3002;A26;D;P;3;10:30;12:20
GMC-3002;A26;E;P;1;13:30;15:20
GMC-3002;A26;E;P;2;17:30;19:20
GMC-3002;A26;E;P;3;10:30;12:20
GMC-3002;A26;F;P;1;13:30;15:20
GMC-3002;A26;F;P;2;19:30;21:20
GMC-3002;A26;F;P;3;10:30;12:20
GMC-3002;A25;A;P;1;13:30;15:20
GMC-3002;A25;A;P;1;15:30;18:20
GMC-3002;A25;A;P;3;10:30;12:20
